word,count
Drive,16
crash,16
breath,16
draw,16
hit,16
goblin,16
tall,16
bright,16
Snitch,16
fight,16
easy,16
Ollivander,16
loud,16
Bane,16
hop,16
hogwarts,16
above,16
knee,16
ready,16
write,16
pleased,16
terrible,16
practice,16
smell,16
Sorcerer,16
worry,16
save,16
pack,15
ahead,15
clear,15
others,15
chamber,15
Nicolas,15
direction,15
exam,15
important,15
eleven,15
decide,15
drive,15
edge,15
Muggles,15
rule,15
silence,15
happy,15
angry,15
Hall,15
also,15
staircase,15
paper,15
free,15
Dark,15
themselves,15
creep,15
study,15
twelve,15
today,15
invisibility,14
slip,14
cart,14
land,14
tiny,14
bet,14
turban,14
birthday,14
nervous,14
sister,14
fact,14
matter,14
classroom,14
London,14
nod,14
yourself,14
better,14
lucky,14
nine,14
sky,14
quietly,14
body,14
tea,14
age,14
seize,14
Hufflepuff,14
mail,14
egg,14
add,14
spend,14
bag,14
shock,14
nasty,14
twice,14
mad,14
tail,14
thick,14
coat,14
sudden,14
leap,14
aunt,13
obviously,13
ago,13
trunk,13
carefully,13
purple,13
pink,13
Magic,13
drink,13
Mom,13
burst,13
prefect,13
forehead,13
Norris,13
upstairs,13
chair,13
odd,13
remind,13
third,13
case,13
row,13
hole,13
peer,13
soon,13
mistake,13
wing,13
appear,13
Pomfrey,13
middle,13
apart,13
nearer,13
bite,13
Seeker,13
quiet,13
miss,13
wild,13
story,13
Flint,13
grin,13
inch,13
power,13
several,13
imagine,13
force,13
tap,12
thought,12
flash,12
rock,12
agree,12
true,12
dormitory,12
expel,12
cover,12
dad,12
crate,12
bend,12
blow,12
wind,12
fifty,12
chance,12
Weasleys,12
real,12
teach,12
somehow,12
cake,12
anythin,12
breathe,12
mention,12
suggest,12
box,12
Hedwig,12
slide,12
Did,12
enter,12
dive,12
swoop,12
Sir,12
Piers,12
lip,12
wide,12
six,12
heavy,12
Hooch,12
kick,12
jerk,12
uncle,12
path,12
feather,12
narrow,12
sir,12
possible,12
beard,12
chapter,12
sharp,12
growl,11
